123.54,16.56,4.38,11.63,-2.94,0.04

123.54,16.56,4.38,11.63,-2.94,0.04

123.54,16.56,4.38,11.63,-2.94,0.04

123.54,16.56,4.38,11.63,-2.94,0.04

123.54,16.56,4.38,11.63,-2.94,0.04

123.65,16.56,3.81,11.13,-3.41,0.09

123.65,16.56,3.81,11.13,-3.41,0.09

123.65,16.56,3.81,11.13,-3.41,0.09

123.65,16.56,3.81,11.13,-3.41,0.09

123.65,16.56,3.81,11.13,-3.41,0.09

123.65,16.56,3.81,11.13,-3.41,0.09

123.65,16.56,3.81,11.13,-3.41,0.09

123.65,16.56,3.81,11.13,-3.41,0.09

123.65,16.56,3.81,11.13,-3.41,0.09

123.75,16.94,4.00,11.63,-3.72,0.13

123.75,16.94,4.00,11.63,-3.72,0.13

123.75,16.94,4.00,11.63,-3.72,0.13

123.86,16.00,3.75,12.19,-3.90,0.11

123.86,16.00,3.75,12.19,-3.90,0.11

123.86,16.00,3.75,12.19,-3.90,0.11

123.86,16.00,3.75,12.19,-3.90,0.11

123.86,16.00,3.75,12.19,-3.90,0.11

123.86,16.00,3.75,12.19,-3.90,0.11

123.96,17.00,4.38,12.13,-3.79,0.08

123.96,17.00,4.38,12.13,-3.79,0.08

123.96,17.00,4.38,12.13,-3.79,0.08

123.96,17.00,4.38,12.13,-3.79,0.08

123.96,17.00,4.38,12.13,-3.79,0.08

123.96,17.00,4.38,12.13,-3.79,0.08

123.96,17.00,4.38,12.13,-3.79,0.08

123.96,17.00,4.38,12.13,-3.79,0.08

124.06,13.88,3.31,12.69,-2.00,0.10

124.06,13.88,3.31,12.69,-2.00,0.10

124.06,13.88,3.31,12.69,-2.00,0.10

124.06,13.88,3.31,12.69,-2.00,0.10

124.17,12.56,2.94,13.38,-1.03,0.11

124.17,12.56,2.94,13.38,-1.03,0.11

124.17,12.56,2.94,13.38,-1.03,0.11

124.17,12.56,2.94,13.38,-1.03,0.11

124.17,12.56,2.94,13.38,-1.03,0.11

124.17,12.56,2.94,13.38,-1.03,0.11

124.17,12.56,2.94,13.38,-1.03,0.11

124.27,11.69,2.88,14.19,-0.57,0.06

124.27,11.69,2.88,14.19,-0.57,0.06

124.27,11.69,2.88,14.19,-0.57,0.06

124.27,11.69,2.88,14.19,-0.57,0.06

124.27,11.69,2.88,14.19,-0.57,0.06

124.27,11.69,2.88,14.19,-0.57,0.06

124.27,11.69,2.88,14.19,-0.57,0.06

124.37,11.38,2.69,14.31,-0.42,0.01

124.37,11.38,2.69,14.31,-0.42,0.01

124.37,11.38,2.69,14.31,-0.42,0.01

124.37,11.38,2.69,14.31,-0.42,0.01

124.37,11.38,2.69,14.31,-0.42,0.01

124.48,11.19,2.63,14.00,-0.36,-0.05

